,Datum,Leistung erneuerbar (MW),Leistung erneuerbar (GW)
0,2020-01-01,18378.89875,18.37889875
1,2020-01-02,25234.198333333334,25.234198333333335
2,2020-01-03,40357.41166666667,40.357411666666664
3,2020-01-04,41126.7275,41.1267275
4,2020-01-05,21438.916666666668,21.438916666666668
5,2020-01-06,25156.087083333332,25.156087083333333
6,2020-01-07,28251.900416666667,28.25190041666667
7,2020-01-08,31606.10375,31.60610375
8,2020-01-09,30327.2925,30.3272925
9,2020-01-10,33994.93208333333,33.99493208333333
10,2020-01-11,30297.82083333333,30.297820833333333
11,2020-01-12,40919.417083333334,40.919417083333336
12,2020-01-13,27248.241250000003,27.248241250000003
13,2020-01-14,46599.0725,46.599072500000005
14,2020-01-15,44913.69166666667,44.91369166666667
15,2020-01-16,28918.620833333334,28.918620833333335
16,2020-01-17,33248.934583333335,33.24893458333334
17,2020-01-18,30065.320000000003,30.065320000000003
18,2020-01-19,20066.465,20.066465
19,2020-01-20,18109.15125,18.10915125
20,2020-01-21,25144.559999999998,25.14456
21,2020-01-22,18331.181666666667,18.331181666666666
22,2020-01-23,12847.595833333333,12.847595833333333
23,2020-01-24,17495.804583333334,17.495804583333335
24,2020-01-25,15633.90375,15.63390375
25,2020-01-26,18189.592916666665,18.189592916666665
26,2020-01-27,31729.632500000003,31.729632500000005
27,2020-01-28,41907.74291666667,41.90774291666667
28,2020-01-29,43692.935,43.692935
29,2020-01-30,43661.3925,43.661392500000005
30,2020-01-31,45749.830416666664,45.74983041666666
31,2020-02-01,46429.12791666667,46.42912791666667
32,2020-02-02,32306.6775,32.3066775
33,2020-02-03,36080.6725,36.0806725
34,2020-02-04,37920.931666666664,37.92093166666666
35,2020-02-05,27214.78125,27.21478125
36,2020-02-06,23019.564583333336,23.019564583333338
37,2020-02-07,20355.10875,20.35510875
38,2020-02-08,29402.519166666665,29.402519166666664
39,2020-02-09,44960.572916666664,44.96057291666666
40,2020-02-10,49310.89124999999,49.31089124999999
41,2020-02-11,52399.424999999996,52.399424999999994
42,2020-02-12,48988.505833333336,48.988505833333335
43,2020-02-13,34153.53333333333,34.153533333333336
44,2020-02-14,20498.740833333333,20.498740833333333
45,2020-02-15,39677.6925,39.6776925
46,2020-02-16,48014.90666666667,48.01490666666667
47,2020-02-17,44720.12416666667,44.72012416666667
48,2020-02-18,48780.003333333334,48.78000333333333
49,2020-02-19,43292.39625,43.292396249999996
50,2020-02-20,40037.659166666665,40.037659166666664
51,2020-02-21,47082.58958333333,47.08258958333333
52,2020-02-22,51539.6875,51.5396875
53,2020-02-23,44327.86958333334,44.32786958333334
54,2020-02-24,36425.38041666667,36.42538041666667
55,2020-02-25,45223.315,45.223315
56,2020-02-26,28914.62875,28.91462875
57,2020-02-27,23000.27125,23.00027125
58,2020-02-28,37257.0375,37.257037499999996
59,2020-02-29,46248.725,46.248725
60,2020-03-01,42207.93125,42.20793125
61,2020-03-02,23474.649166666666,23.474649166666666
62,2020-03-03,22015.748333333333,22.015748333333335
63,2020-03-04,20421.311666666665,20.421311666666664
64,2020-03-05,24196.9575,24.1969575
65,2020-03-06,32172.39,32.17239
66,2020-03-07,27100.679583333334,27.100679583333335
67,2020-03-08,36806.308333333334,36.806308333333334
68,2020-03-09,24620.42625,24.62042625
69,2020-03-10,47054.07083333333,47.054070833333334
70,2020-03-11,42247.9575,42.2479575
71,2020-03-12,50473.89708333334,50.473897083333334
72,2020-03-13,45507.19333333333,45.507193333333326
73,2020-03-14,23456.725833333334,23.456725833333333
74,2020-03-15,40256.96166666666,40.25696166666666
75,2020-03-16,23701.78583333333,23.701785833333332
76,2020-03-17,24439.23625,24.43923625
77,2020-03-18,29993.548333333336,29.993548333333337
78,2020-03-19,15985.548333333332,15.985548333333332
79,2020-03-20,21993.967916666665,21.993967916666666
80,2020-03-21,39348.3975,39.3483975
81,2020-03-22,40393.09458333333,40.39309458333333
82,2020-03-23,37212.70041666667,37.212700416666664
83,2020-03-24,34495.840416666666,34.49584041666667
84,2020-03-25,34539.88416666666,34.53988416666666
85,2020-03-26,34019.13625,34.01913625
86,2020-03-27,32540.065416666665,32.540065416666664
87,2020-03-28,31933.6825,31.9336825
88,2020-03-29,37940.626521739134,37.940626521739134
89,2020-03-30,26855.402083333334,26.855402083333335
90,2020-03-31,20583.709166666667,20.58370916666667
91,2020-04-01,28299.454583333336,28.299454583333336
92,2020-04-02,34419.99166666667,34.41999166666667
93,2020-04-03,31850.252083333336,31.850252083333338
94,2020-04-04,22486.92125,22.486921249999998
95,2020-04-05,37353.04833333333,37.353048333333334
96,2020-04-06,33698.1625,33.698162499999995
97,2020-04-07,23160.497916666664,23.160497916666664
98,2020-04-08,22889.39791666667,22.88939791666667
99,2020-04-09,22600.837083333332,22.60083708333333
100,2020-04-10,20559.7425,20.5597425
101,2020-04-11,20431.14416666667,20.43114416666667
102,2020-04-12,22923.532083333335,22.923532083333335
103,2020-04-13,36458.35375,36.45835375
104,2020-04-14,29399.257916666666,29.399257916666667
105,2020-04-15,30400.822083333333,30.40082208333333
106,2020-04-16,23505.25125,23.50525125
107,2020-04-17,20377.14375,20.37714375
108,2020-04-18,24358.221666666665,24.358221666666665
109,2020-04-19,33121.9775,33.1219775
110,2020-04-20,43894.67625,43.894676249999996
111,2020-04-21,47971.05583333334,47.97105583333334
112,2020-04-22,41712.92083333333,41.71292083333333
113,2020-04-23,24431.77125,24.43177125
114,2020-04-24,30160.994583333333,30.160994583333334
115,2020-04-25,24868.133749999997,24.86813375
116,2020-04-26,18874.135416666668,18.874135416666668
